number,full_name,position,height_in_inches,weight_in_lbs,date_of_birth,team
59,"Trevathan, Danny",OLB,73,240,3/24/1990,DEN
96,"Unrein, Mitch",DT,76,306,3/25/1987,DEN
60,"Vallos, Steve",C,75,310,12/28/1983,DEN
65,"Vasquez, Louis",G,77,335,4/11/1987,DEN
99,"Vickerson, Kevin",DT,77,328,1/8/1983,DEN
50,"Walton, J.D.",C,75,305,3/24/1987,DEN
36,"Webster, Kayvon",CB,71,198,2/1/1991,DEN
83,"Welker, Wes",WR,69,185,5/1/1981,DEN
92,"Williams, Sylvester",DT,74,313,11/21/1988,DEN
95,"Wolfe, Derek",DE,77,285,2/24/1990,DEN
52,"Woodyard, Wesley",OLB,72,233,7/21/1986,DEN
2,"Akers, David",K,70,200,12/9/1974,DET
94,"Ansah, Ezekiel",DE,77,271,5/29/1989,DET
35,"Bell, Joique",RB,71,220,8/4/1986,DET
28,"Bentley, Bill",CB,70,176,5/16/1989,DET
84,"Broyles, Ryan",WR,70,188,4/9/1988,DET
13,"Burleson, Nate",WR,72,198,8/19/1981,DET
21,"Bush, Reggie",RB,72,203,3/2/1985,DET
32,"Carey, Don",SS,71,192,2/14/1987,DET
26,"Delmas, Louis",FS,71,202,4/12/1987,DET
18,"Durham, Kris",WR,78,216,3/17/1988,DET
83,"Edwards, Pat",WR,69,175,10/25/1988,DET
98,"Fairley, Nick",DT,76,298,1/23/1988,DET
80,"Fauria, Joseph",TE,79,255,1/16/1990,DET
96,"Fluellen, Andre",DT,74,302,3/7/1985,DET
70,"Fox, Jason",T,78,314,5/2/1988,DET
65,"Gandy, Dylan",C,75,295,3/8/1982,DET
24,"Gomes, DeJon",DB,72,201,11/17/1989,DET
36,"Green, Jonte",CB,72,184,7/19/1989,DET
53,"Greenwood, Cory",LB,74,235,6/5/1985,DET
64,"Harris, Leroy",C,75,303,6/6/1984,DET
14,"Hill, Shaun",QB,75,220,1/9/1980,DET
78,"Hilliard, Corey",T,78,300,4/26/1985,DET
23,"Houston, Chris",CB,71,178,10/18/1984,DET
77,"Idonije, Israel",DE,78,275,11/17/1980,DET
81,"Johnson, Calvin",WR,77,236,9/29/1985,DET
91,"Jones, Jason",DE,77,276,5/23/1986,DET
25,"Leshoure, Mikel",RB,72,233,3/30/1990,DET
54,"Levy, DeAndre",OLB,74,238,3/26/1987,DET
50,"Lewis, Travis",LB,74,222,1/15/1988,DET
6,"Martin, Sam",P,73,205,2/27/1990,DET
31,"Mathis, Rashean",CB,73,195,8/27/1980,DET
52,"McIntosh, Rocky",LB,74,242,11/15/1982,DET
17,"Moore, Kellen",QB,72,197,7/12/1989,DET
99,"Mosley, C.J.",DT,74,310,8/6/1983,DET
48,"Muhlbach, Don",LS,76,265,8/17/1981,DET
11,"Ogletree, Kevin",WR,73,198,8/5/1987,DET
34,"Owens, Montell",RB,70,225,5/4/1984,DET
58,"Palmer, Ashlee",OLB,73,236,4/7/1986,DET
87,"Pettigrew, Brandon",TE,77,265,2/23/1985,DET
27,"Quin, Glover",SS,72,209,1/15/1986,DET
51,"Raiola, Dominic",C,73,295,12/30/1978,DET
71,"Reiff, Riley",OT,78,313,12/1/1988,DET
41,"Riddick, Theo",RB,69,200,5/4/1991,DET
85,"Scheffler, Tony",TE,77,255,2/15/1983,DET
67,"Sims, Rob",G,75,312,12/6/1983,DET
30,"Slay, Darius",CB,72,192,1/1/1991,DET
15,"Spurlock, Micheal",WR,71,210,1/31/1983,DET
9,"Stafford, Matthew",QB,75,232,2/7/1988,DET
90,"Suh, Ndamukong",DT,76,307,1/6/1987,DET
92,"Taylor, Devin",DE,79,267,11/15/1989,DET
55,"Tulloch, Stephen",MLB,71,240,1/1/1985,DET
66,"Waddle, LaAdrian",OT,78,321,7/21/1991,DET
75,"Warford, Larry",OG,75,333,7/18/1991,DET
29,"Wendling, John",FS,73,222,6/4/1983,DET
59,"Whitehead, Tahir",LB,74,228,4/2/1990,DET
89,"Williams, Michael",TE,78,270,9/8/1990,DET
79,"Young, Willie",DE,76,251,9/19/1985,DET
69,"Bakhtiari, David",OT,76,300,9/30/1991,GB
32,"Banjo, Chris",SS,70,207,2/26/1990,GB
67,"Barclay, Don",T,76,305,4/18/1989,GB
58,"Barrington, Sam",LB,73,246,10/5/1990,GB
86,"Bostick, Brandon",TE,75,250,5/3/1989,GB
93,"Boyd, Josh",DE,75,310,8/3/1989,GB
11,"Boykin, Jarrett",WR,74,218,11/4/1989,GB
75,"Bulaga, Bryan",T,77,314,3/21/1989,GB
42,"Burnett, Morgan",SS,73,209,1/13/1989,GB
24,"Bush, Jarrett",CB,72,200,5/21/1984,GB
18,"Cobb, Randall",WR,70,192,8/22/1990,GB
2,"Crosby, Mason",K,73,207,9/3/1984,GB
76,"Daniels, Mike",DE,72,291,5/5/1989,GB
62,"Dietrich-Smith, Evan",G,74,308,7/19/1986,GB
16,"Dorsey, Kevin",WR,73,207,2/23/1990,GB
88,"Finley, Jermichael",TE,77,247,3/26/1987,GB
49,"Francois, Rob",LB,74,255,5/14/1985,GB
23,"Franklin, Johnathan",RB,70,205,10/23/1989,GB
61,"Goode, Brett",LS,73,255,11/2/1984,GB
26,"Harris, DuJuan",RB,68,203,9/3/1988,GB
50,"Hawk, A.J.",ILB,73,247,1/6/1984,GB
29,"Hayward, Casey",CB,71,192,9/9/1989,GB
34,"Hill, Michael",RB,71,205,8/14/1989,GB
31,"House, Davon",CB,72,195,7/10/1989,GB
33,"Hyde, Micah",CB,72,197,12/31/1990,GB
43,"Jennings, M.D.",FS,72,187,7/25/1988,GB
97,"Jolly, Johnny",DE,75,325,2/21/1983,GB
59,"Jones, Brad",ILB,75,242,4/1/1986,GB
95,"Jones, Datone",DE,76,285,7/24/1990,GB
89,"Jones, James",WR,73,208,3/31/1984,GB
30,"Kuhn, John",FB,72,250,9/9/1982,GB
27,"Lacy, Eddie",RB,71,230,6/2/1990,GB
70,"Lang, T.J.",G,76,318,9/20/1987,GB
57,"Lattimore, Jamari",LB,74,230,10/6/1988,GB
8,"Masthay, Tim",P,73,200,3/16/1987,GB
52,"Matthews, Clay",OLB,75,255,5/14/1986,GB
22,"McMillian, Jerron",SS,71,203,4/2/1989,GB
55,"Mulumba, Andy",LB,75,260,1/31/1990,GB
96,"Neal, Mike",DE,75,285,6/26/1987,GB
87,"Nelson, Jordy",WR,75,217,5/31/1985,GB
74,"Newhouse, Marshall",T,76,319,9/29/1988,GB
25,"Nixon, James",CB,72,186,2/2/1988,GB
51,"Palmer, Nate",LB,74,248,9/23/1989,GB
53,"Perry, Nick",OLB,75,265,4/12/1990,GB
79,"Pickett, Ryan",NT,74,340,10/8/1979,GB
81,"Quarless, Andrew",TE,76,252,10/6/1988,GB
90,"Raji, B.J.",DE,74,337,7/11/1986,GB
28,"Richardson, Sean",SAF,74,216,1/21/1990,GB
12,"Rodgers, Aaron",QB,74,225,12/2/1983,GB
78,"Sherrod, Derek",T,77,321,4/23/1989,GB
37,"Shields, Sam",CB,71,184,12/8/1987,GB
71,"Sitton, Josh",G,75,318,6/16/1986,GB
44,"Starks, James",RB,74,218,2/25/1986,GB
65,"Taylor, Lane",G,75,324,11/22/1989,GB
82,"Taylor, Ryan",TE,75,254,11/16/1987,GB
73,"Tretter, J.C.",T,76,307,2/12/1991,GB
64,"Van Roten, Greg",G,75,303,2/26/1990,GB
9,"Wallace, Seneca",QB,71,205,8/6/1980,GB
38,"Williams, Tramon",CB,71,191,3/16/1983,GB
98,"Wilson, C.J.",DE,75,306,3/30/1987,GB
99,"Worthy, Jerel",DE,74,308,4/28/1990,GB
56,"Ayers, Akeem",OLB,75,253,7/10/1989,TEN
57,"Bailey, Patrick",LB,76,243,11/19/1985,TEN
22,"Battle, Jackie",RB,74,240,10/1/1983,TEN
2,"Bironas, Rob",K,72,208,1/29/1978,TEN
48,"Brinkley, Beau",LS,76,248,1/25/1990,TEN
18,"Britt, Kenny",WR,75,223,9/19/1988,TEN
55,"Brown, Zach",OLB,73,248,10/23/1989,TEN
37,"Campbell, Tommie",DB,75,198,9/19/1987,TEN
99,"Casey, Jurrell",DT,73,305,12/5/1989,TEN
98,"Edwards, Lavar",DE,76,277,4/29/1990,TEN
4,"Fitzpatrick, Ryan",QB,74,223,11/24/1982,TEN
53,"Fokou, Moise",MLB,73,243,8/28/1985,TEN
50,"Gooden, Zaviar",OLB,73,231,8/31/1990,TEN
23,"Greene, Shonn",RB,71,233,8/21/1985,TEN
33,"Griffin, Michael",FS,72,215,1/4/1985,TEN
94,"Hill, Sammie Lee",DT,76,328,11/8/1986,TEN
15,"Hunter, Justin",WR,76,203,5/20/1991,TEN
90,"Johnson, Antonio",DT,75,328,12/8/1984,TEN
28,"Johnson, Chris",RB,71,203,9/23/1985,TEN
6,"Kern, Brett",P,74,214,2/17/1986,TEN
97,"Klug, Karl",DT,75,278,3/31/1988,TEN
67,"Levitre, Andy",G,74,303,5/15/1986,TEN
10,"Locker, Jake",QB,75,223,6/15/1988,TEN
83,"Mariani, Marc",WR,73,190,5/2/1987,TEN
93,"Martin, Mike",DT,73,298,9/1/1990,TEN
52,"McCarthy, Colin",MLB,73,243,5/30/1988,TEN
30,"McCourty, Jason",CB,72,193,8/13/1987,TEN
42,"Mooney, Collin",FB,70,247,4/3/1986,TEN
91,"Morgan, Derrick",DE,75,271,1/6/1989,TEN
66,"Otto, Michael",T,77,308,7/24/1983,TEN
92,"Pitoitua, Ropati",DE,80,298,4/6/1985,TEN
31,"Pollard, Bernard",SS,73,225,12/23/1984,TEN
14,"Preston, Michael",WR,77,213,6/1/1989,TEN
25,"Reynaud, Darius",RB,69,208,12/29/1984,TEN
71,"Roos, Michael",T,79,313,10/5/1982,TEN
62,"Schwenke, Brian",C,75,318,3/22/1991,TEN
24,"Sensabaugh, Coty",CB,71,187,11/15/1988,TEN
11,"Smith, Rusty",QB,77,226,1/28/1987,TEN
60,"Spencer, Chris",G,75,308,3/28/1982,TEN
39,"Stafford, Daimion",SS,73,218,2/18/1991,TEN
88,"Stevens, Craig",TE,75,263,9/1/1984,TEN
76,"Stewart, David",T,79,313,8/28/1982,TEN
68,"Stingily, Byron",T,77,318,9/9/1988,TEN
84,"Thompson, Taylor",TE,78,268,10/19/1989,TEN
59,"Turner, Robert",C,76,308,8/20/1984,TEN
20,"Verner, Alterraun",CB,70,187,12/13/1988,TEN
82,"Walker, Delanie",TE,72,248,8/12/1984,TEN
87,"Walter, Kevin",WR,75,218,8/4/1981,TEN
70,"Warmack, Chance",OG,74,323,9/14/1991,TEN
85,"Washington, Nate",WR,73,183,8/28/1983,TEN
17,"Williams, Damian",WR,73,193,5/26/1988,TEN
21,"Wilson, George",SS,72,210,3/14/1981,TEN
95,"Wimbley, Kamerion",DE,76,258,10/13/1983,TEN
29,"Wreh-Wilson, Blidi",CB,73,198,12/5/1989,TEN
13,"Wright, Kendall",WR,70,191,11/12/1989,TEN
83,"Allen, Dwayne",TE,75,265,2/24/1990,IND
79,"Anderson, Justin",T,77,340,4/15/1988,IND
51,"Angerer, Pat",ILB,72,236,1/31/1987,IND
36,"Asante, Larry",DB,72,210,3/7/1988,IND
33,"Ballard, Vick",RB,70,224,7/16/1990,IND
41,"Bethea, Antoine",FS,71,206,7/27/1984,IND
44,"Bradshaw, Ahmad",RB,70,214,3/19/1986,IND
15,"Brazill, LaVon",WR,71,194,3/15/1989,IND
31,"Brown, Donald",RB,70,207,4/11/1987,IND
38,"Brown, Sergio",DB,74,217,5/22/1988,IND
20,"Butler, Darius",FS,70,186,3/18/1986,IND
74,"Castonzo, Anthony",T,79,307,8/9/1988,IND
96,"Chapman, Josh",DT,72,341,6/10/1989,IND
78,"Cherilus, Gosder",T,79,314,6/28/1984,IND
53,"Conner, Kavell",ILB,72,245,2/23/1987,IND
23,"Davis, Vontae",CB,71,204,5/27/1988,IND
84,"Doyle, Jack",TE,77,258,5/5/1990,IND
80,"Fleener, Coby",TE,78,247,9/20/1988,IND
97,"Franklin, Aubrayo",NT,73,320,8/27/1980,IND
50,"Freeman, Jerrell",ILB,72,232,5/1/1986,IND
27,"Gordy, Josh",DB,71,196,2/9/1987,IND
54,"Harvey, Mario",LB,72,264,8/10/1987,IND
8,"Hasselbeck, Matt",QB,76,235,9/25/1975,IND
39,"Havili, Stanley",FB,72,243,11/14/1987,IND
81,"Heyward-Bey, Darrius",WR,74,219,2/26/1987,IND
55,"Hickman, Justin",LB,74,249,7/20/1985,IND
13,"Hilton, T.Y.",WR,69,178,11/14/1989,IND
62,"Holmes, Khaled",C,75,319,1/19/1990,IND
26,"Howell, Delano",FS,71,196,11/17/1989,IND
94,"Hughes, Montori",DT,76,335,8/25/1990,IND
99,"Jean Francois, Ricky",DE,75,297,11/23/1986,IND
59,"Johnson, Cam",LB,75,268,5/24/1990,IND
46,"Jones, Dominique",TE,75,270,8/15/1987,IND
30,"Landry, LaRon",SS,72,226,10/14/1984,IND
72,"Linkenbach, Jeffrey",G,78,325,6/9/1987,IND
12,"Luck, Andrew",QB,76,239,9/12/1989,IND
56,"Lutrus, Scott",LB,75,238,4/23/1988,IND
91,"Mathews, Ricardo",DT,75,300,7/30/1987,IND
98,"Mathis, Robert",OLB,74,246,2/26/1981,IND
1,"McAfee, Pat",P,73,233,5/2/1987,IND
75,"McGlynn, Mike",G,76,325,3/8/1985,IND
95,"Moala, Fili",DE,76,308,6/23/1985,IND
71,"Nixon, Xavier",OT,78,314,9/17/1990,IND
45,"Overton, Matt",LS,73,242,7/6/1985,IND
90,"Redding, Cory",DE,76,318,11/15/1980,IND
85,"Reed, David",WR,72,190,3/22/1987,IND
76,"Reitz, Joe",G,79,323,8/24/1985,IND
34,"Richardson, Trent",RB,69,225,7/10/1991,IND
64,"Satele, Samson",C,75,300,11/29/1984,IND
52,"Sheppard, Kelvin",ILB,74,256,1/2/1988,IND
52,"Sidbury, Lawrence",LB,75,269,2/6/1986,IND
34,"Swanson, Dax",DB,71,191,3/21/1991,IND
66,"Thomas, Donald",G,76,306,9/25/1985,IND
69,"Thornton, Hugh",OG,75,334,6/28/1991,IND
28,"Toler, Greg",CB,72,190,1/2/1985,IND
32,"Vaughn, Cassius",CB,71,199,11/3/1987,IND
4,"Vinatieri, Adam",K,72,208,12/28/1972,IND
93,"Walden, Erik",OLB,74,250,8/21/1985,IND
87,"Wayne, Reggie",WR,72,200,11/17/1978,IND
92,"Werner, Bjoern",LB,75,260,8/30/1990,IND
39,"Abdullah, Husain",DB,72,204,7/27/1985,KC
76,"Albert, Branden",T,77,316,11/4/1984,KC
71,"Allen, Jeff",G,76,306,1/8/1990,KC
73,"Asamoah, Jon",G,76,305,7/21/1988,KC
17,"Avery, Donnie",WR,71,200,6/12/1984,KC
97,"Bailey, Allen",DE,75,288,3/25/1989,KC
29,"Berry, Eric",SS,72,211,12/29/1988,KC
82,"Bowe, Dwayne",WR,74,221,9/21/1984,KC
9,"Bray, Tyler",QB,78,215,12/27/1991,KC
46,"Brock, Kevin",TE,77,249,4/9/1986,KC
77,"Catapano, Mike",DE,75,270,8/17/1990,KC
25,"Charles, Jamaal",RB,71,199,12/27/1986,KC
2,"Colquitt, Dustin",P,75,210,5/6/1982,KC
26,"Commings, Sanders",CB,72,223,3/8/1990,KC
31,"Cooper, Marcus",CB,73,192,2/1/1990,KC
10,"Daniel, Chase",QB,72,225,10/7/1986,KC
34,"Davis, Knile",RB,70,227,10/5/1991,KC
70,"DeVito, Mike",DE,75,305,6/10/1984,KC
35,"Demps, Quintin",DB,71,208,6/29/1985,KC
80,"Fasano, Anthony",TE,76,255,4/20/1984,KC
72,"Fisher, Eric",OT,79,306,1/5/1991,KC
24,"Flowers, Brandon",CB,69,187,2/18/1986,KC
43,"Gafford, Thomas",LS,74,250,1/29/1983,KC
32,"Gray, Cyrus",RB,70,206,11/18/1989,KC
91,"Hali, Tamba",OLB,75,275,11/3/1983,KC
14,"Hall, Chad",WR,68,187,5/23/1986,KC
88,"Hemingway, Junior",WR,73,225,12/27/1988,KC
65,"Henry, Ricky",OG,76,310,7/27/1987,KC
50,"Houston, Justin",OLB,75,258,1/12/1989,KC
96,"Howard, Jaye",DT,75,301,12/20/1988,KC
61,"Hudson, Rodney",C,74,299,7/12/1989,KC
94,"Jackson, Tyson",DE,76,296,6/6/1986,KC
15,"Jenkins, A.J.",WR,72,200,9/30/1989,KC
56,"Johnson, Derrick",ILB,75,242,11/22/1982,KC
52,"Johnson, James-Michael",LB,73,240,8/20/1989,KC
57,"Johnson, Nico",ILB,74,249,6/19/1990,KC
63,"Johnson, Rishaw",G,75,313,2/23/1989,KC
55,"Jordan, Akeem",ILB,73,230,8/17/1985,KC
87,"Kelce, Travis",TE,77,260,10/5/1989,KC
64,"Kush, Eric",C,76,313,9/9/1989,KC
23,"Lewis, Kendrick",FS,72,198,6/16/1988,KC
22,"McCluster, Dexter",WR,68,170,8/25/1988,KC
84,"McGrath, Sean",TE,77,247,12/3/1987,KC
81,"Moeaki, Tony",TE,75,252,6/8/1987,KC
54,"Moses, Dezman",LB,74,249,1/4/1989,KC
38,"Parker, Ron",DB,72,206,8/17/1987,KC
92,"Poe, Dontari",NT,75,346,8/18/1990,KC
21,"Robinson, Dunta",CB,70,183,4/11/1982,KC
74,"Schwartz, Geoff",G,78,340,7/11/1986,KC
42,"Sherman, Anthony",FB,70,242,12/11/1988,KC
11,"Smith, Alex",QB,76,217,5/7/1984,KC
27,"Smith, Sean",CB,75,218,7/14/1987,KC
79,"Stephenson, Donald",T,78,312,9/30/1988,KC
6,"Succop, Ryan",K,74,218,9/19/1986,KC
98,"Toribio, Anthony",DT,73,315,3/1/1985,KC
68,"Waldron, Dustin",T,77,310,5/24/1990,KC
51,"Zombo, Frank",LB,75,254,3/5/1987,KC
28,"Adams, Phillip",CB,71,195,7/20/1988,OAK
86,"Ausberry, David",TE,76,258,9/25/1987,OAK
69,"Barnes, Khalif",T,78,321,4/21/1982,OAK
70,"Bergstrom, Tony",G,77,310,8/8/1986,OAK
96,"Bilukidi, Christo",DT,77,320,12/13/1989,OAK
33,"Branch, Tyvon",SS,72,210,12/11/1986,OAK
65,"Brisiel, Mike",G,77,310,3/14/1983,OAK
95,"Burnett, Kaelin",LB,76,240,9/6/1989,OAK
94,"Burnett, Kevin",OLB,75,230,12/24/1982,OAK
56,"Burris, Miles",OLB,74,240,6/27/1988,OAK
19,"Butler, Brice",WR,75,213,1/29/1990,OAK
3,"Carmona, Eddy",K,70,203,9/4/1988,OAK
35,"Chekwa, Chimdi",DB,72,190,9/7/1988,OAK
59,"Condo, Jon",LS,75,245,8/26/1981,OAK
91,"Crawford, Jack",DE,77,281,9/7/1988,OAK
84,"Criner, Juron",WR,75,221,12/12/1989,OAK
12,"Ford, Jacoby",WR,69,190,7/27/1987,OAK
64,"Gurode, Andre",G,76,320,3/6/1979,OAK
25,"Hayden, D.J.",CB,71,190,6/27/1990,OAK
18,"Holmes, Andre",WR,76,210,6/16/1988,OAK
99,"Houston, Lamarr",DE,75,300,6/24/1987,OAK
93,"Hunter, Jason",DE,76,270,8/28/1983,OAK
11,"Janikowski, Sebastian",K,73,258,3/2/1978,OAK
21,"Jenkins, Mike",CB,70,197,3/22/1985,OAK
27,"Jennings, Rashad",RB,73,231,3/26/1985,OAK
22,"Jones, Taiwan",DB,72,197,7/26/1988,OAK
88,"Kasa, Nick",TE,78,265,11/5/1990,OAK
7,"King, Marquette",P,72,192,10/26/1988,OAK
63,"Mady, Lamar",OG,74,315,12/13/1990,OAK
50,"Maiava, Kaluka",OLB,72,230,12/27/1986,OAK
85,"Mastrud, Jeron",TE,77,255,12/17/1987,OAK
73,"McCants, Matt",T,77,309,8/18/1989,OAK
20,"McFadden, Darren",RB,73,218,8/27/1987,OAK
92,"McGee, Stacy",DT,75,310,1/17/1990,OAK
14,"McGloin, Matthew",QB,73,210,12/2/1989,OAK
17,"Moore, Denarius",WR,72,190,12/9/1988,OAK
55,"Moore, Sio",OLB,73,240,5/2/1990,OAK
34,"Murray, Latavius",RB,75,230,1/18/1990,OAK
76,"Nix, Lucas",G,77,320,9/28/1989,OAK
49,"Olawale, Jamize",RB,73,240,4/17/1989,OAK
79,"Pashos, Tony",T,78,325,8/3/1980,OAK
23,"Porter, Tracy",CB,71,188,8/11/1986,OAK
2,"Pryor, Terrelle",QB,76,233,6/20/1989,OAK
45,"Reece, Marcel",FB,73,255,6/23/1985,OAK
81,"Rivera, Mychal",TE,75,245,9/8/1990,OAK
53,"Roach, Nick",MLB,73,234,6/16/1985,OAK
58,"Robinson, Ryan",DE,76,255,12/9/1990,OAK
29,"Ross, Brandian",SS,73,191,9/28/1989,OAK
75,"Sanford, Brian",DE,74,280,9/12/1987,OAK
90,"Sims, Pat",DT,74,310,11/29/1985,OAK
32,"Stewart, Jeremy",FB,71,215,2/17/1989,OAK
80,"Streater, Rod",WR,75,200,2/9/1988,OAK
68,"Veldheer, Jared",T,80,321,6/14/1987,OAK
98,"Walker, Vance",DT,74,305,4/26/1987,OAK
71,"Watson, Menelik",OT,77,315,12/22/1988,OAK
61,"Wisniewski, Stefen",C,75,307,3/22/1989,OAK
24,"Woodson, Charles",FS,73,210,10/7/1976,OAK
26,"Young, Usama",FS,72,200,5/8/1985,OAK
50,"Armstrong, Ray-Ray",LB,75,234,3/5/1991,STL
11,"Austin, Tavon",WR,68,176,3/15/1991,STL
12,"Bailey, Stedman",WR,70,193,11/11/1990,STL
72,"Barksdale, Joe",T,77,326,1/1/1988,STL
61,"Barnes, Tim",C,76,306,5/14/1988,STL
53,"Bates, Daren",LB,71,225,11/27/1990,STL
8,"Bradford, Sam",QB,76,224,11/8/1987,STL
90,"Brockers, Michael",DT,77,326,12/21/1990,STL
10,"Clemens, Kellen",QB,74,221,6/7/1983,STL
71,"Conrath, Matt",DT,79,306,8/11/1989,STL
89,"Cook, Jared",TE,77,254,4/7/1987,STL
93,"Cudjo, Jermelle",DT,74,304,9/28/1986,STL
36,"Cunningham, Benny",RB,70,217,7/7/1990,STL
62,"Dahl, Harvey",G,77,306,6/24/1981,STL
37,"Daniels, Matt",SAF,72,212,9/27/1989,STL
38,"Davis, Cody",DB,73,204,6/6/1989,STL
58,"Dunbar, Jo-Lonn",LB,72,226,3/13/1985,STL
31,"Finnegan, Cortland",CB,70,179,2/2/1984,STL
27,"Giordano, Matt",FS,71,208,10/16/1982,STL
13,"Givens, Chris",WR,72,203,12/6/1989,STL
46,"Harkey, Cory",TE,76,259,6/17/1990,STL
95,"Hayes, William",DE,75,278,5/2/1985,STL
6,"Hekker, Johnny",P,77,236,2/8/1990,STL
21,"Jenkins, Janoris",CB,70,198,10/29/1988,STL
22,"Johnson, Trumaine",CB,74,208,1/1/1990,STL
67,"Jones, Barrett",OG,76,308,5/25/1990,STL
88,"Kendricks, Lance",TE,75,250,1/30/1988,STL
98,"Langford, Kendall",DT,78,313,1/27/1986,STL
55,"Laurinaitis, James",MLB,74,248,12/3/1986,STL
91,"Long, Chris",DE,75,268,3/28/1985,STL
77,"Long, Jake",T,79,322,5/9/1985,STL
25,"McDonald, T.J.",SS,74,217,1/26/1991,STL
32,"McGee, Brandon",CB,71,193,12/11/1990,STL
23,"McLeod, Rodney",FS,70,195,6/23/1990,STL
82,"McNeill, Mike",TE,76,240,3/7/1988,STL
44,"McQuaide, Jake",LS,74,244,12/7/1987,STL
52,"Ogletree, Alec",OLB,74,245,9/25/1991,STL
24,"Pead, Isaiah",RB,70,197,12/14/1989,STL
73,"Person, Mike",T,76,299,6/17/1988,STL
18,"Pettis, Austin",WR,75,203,2/8/1988,STL
73,"Pocic, Graham",C,79,310,4/5/1990,STL
83,"Quick, Brian",WR,75,218,6/5/1989,STL
94,"Quinn, Robert",DE,76,264,5/18/1990,STL
34,"Reynolds, Chase",RB,72,205,10/22/1987,STL
26,"Richardson, Daryl",RB,70,206,4/12/1990,STL
99,"Rivers, Gerald",DE,77,258,6/22/1990,STL
76,"Saffold, Rodger",T,77,332,6/6/1988,STL
97,"Sims, Eugene",DE,78,269,3/18/1986,STL
66,"Smith, Shelley",G,76,312,5/21/1987,STL
30,"Stacy, Zac",RB,68,224,4/9/1991,STL
20,"Stewart, Darian",SS,71,214,8/4/1988,STL
70,"Washington, Brandon",G,74,318,8/13/1988,STL
63,"Wells, Scott",C,74,302,1/7/1981,STL
65,"Williams, Chris",G,78,326,8/26/1985,STL
51,"Witherspoon, Will",OLB,73,242,8/19/1980,STL
4,"Zuerlein, Greg",K,72,196,12/27/1987,STL
58,"Austin, Marvin",DT,74,312,1/10/1989,MIA
19,"Binns, Armon",WR,75,211,9/8/1989,MIA
28,"Carroll, Nolan",CB,73,205,1/18/1987,MIA
77,"Clabo, Tyson",T,78,315,10/17/1981,MIA
42,"Clay, Charles",TE,75,255,2/13/1989,MIA
30,"Clemons, Chris",SS,73,214,9/15/1985,MIA
29,"Davis, Will",CB,71,190,5/8/1990,MIA
92,"Denney, John",LS,77,255,12/13/1978,MIA
7,"Devlin, Pat",QB,75,225,4/12/1988,MIA
84,"Egnew, Michael",TE,77,262,11/1/1989,MIA
59,"Ellerbe, Dannell",MLB,73,245,11/29/1985,MIA
2,"Fields, Brandon",P,77,249,5/21/1984,MIA
56,"Freeny, Jonathan",LB,74,250,6/15/1989,MIA
75,"Garner, Nate",G,79,320,1/18/1985,MIA
10,"Gibson, Brandon",WR,72,207,8/13/1987,MIA
23,"Gillislee, Mike",RB,71,213,11/1/1990,MIA
21,"Grimes, Brent",CB,70,190,7/19/1983,MIA
82,"Hartline, Brian",WR,74,199,11/22/1986,MIA
68,"Incognito, Richie",G,75,319,7/5/1983,MIA
53,"Jenkins, Jelani",LB,72,243,3/13/1992,MIA
74,"Jerry, John",G,77,335,6/14/1986,MIA
36,"Jones, Don",SS,71,200,5/14/1990,MIA
20,"Jones, Reshad",FS,73,215,2/25/1988,MIA
95,"Jordan, Dion",DE,78,260,3/5/1990,MIA
57,"Kaddu, Josh",LB,75,246,3/12/1990,MIA
81,"Keller, Dustin",TE,74,255,9/25/1984,MIA
44,"Kovacs, Jordan",SS,70,210,6/12/1990,MIA
71,"Martin, Jonathan",T,77,312,8/19/1989,MIA
90,"Martin, Vaughn",DE,76,300,4/18/1986,MIA
18,"Matthews, Rishard",WR,72,210,10/12/1989,MIA
26,"Miller, Lamar",RB,70,216,4/25/1991,MIA
55,"Misi, Koa",OLB,75,254,1/17/1987,MIA
8,"Moore, Matt",QB,75,216,8/9/1984,MIA
98,"Odrick, Jared",DT,77,302,12/31/1987,MIA
24,"Patterson, Dimitri",CB,70,200,6/18/1983,MIA
51,"Pouncey, Mike",C,77,305,7/24/1989,MIA
79,"Shelby, Derrick",DE,74,280,3/4/1989,MIA
80,"Sims, Dion",TE,76,265,2/18/1991,MIA
96,"Soliai, Paul",DT,76,340,12/30/1983,MIA
45,"Spitler, Austin",LB,74,250,10/26/1986,MIA
25,"Stanford, R.J.",DB,70,190,5/6/1988,MIA
94,"Starks, Randy",DT,75,305,12/14/1983,MIA
9,"Sturgis, Caleb",K,69,190,8/9/1989,MIA
17,"Tannehill, Ryan",QB,76,222,7/27/1988,MIA
22,"Taylor, Jamar",CB,70,195,9/29/1990,MIA
34,"Thigpen, Marcus",RB,69,195,5/15/1986,MIA
70,"Thomas, Dallas",OT,77,315,10/30/1989,MIA
33,"Thomas, Daniel",RB,73,235,10/29/1987,MIA
93,"Trusnik, Jason",OLB,76,252,6/6/1984,MIA
50,"Vernon, Olivier",DE,74,268,10/7/1990,MIA
91,"Wake, Cameron",DE,75,258,1/30/1982,MIA
11,"Wallace, Mike",WR,72,195,8/1/1986,MIA
62,"Watkins, Danny",OG,75,310,11/6/1984,MIA
52,"Wheeler, Philip",OLB,74,240,12/12/1984,MIA
27,"Wilson, Jimmy",SAF,71,205,7/30/1986,MIA
