title,latitude,longitude,city,state,category_title,price,stars,star_rating
Hancock County Welcome Center,30.310963,-89.60083,Pearlington,Mississippi,Rest Area,FREE,4,2
Walmart,30.263588,-82.10806,Macclenny,Florida,Parking Lot,FREE,4,2
Cobb Hunt Camp,30.24557,-82.41197,Sanderson,Florida,National Forest,FREE,4,2
Isle of Capri Casino,30.236433,-93.248436,Lake Charles,Louisiana,Parking Lot,FREE,4,2
Gillespie County Rest Area,30.235874,-98.60937,Stonewall,Texas,Rest Area,FREE,4,2
Delta Downs Racetrack Casino & Hotel,30.196325,-93.62124,Vinton,Louisiana,Parking Lot,FREE,4,2
Walmart,30.07555,-95.62685,Tomball,Texas,Parking Lot,FREE,4,2
Elephant Mountain WMA,30.035748,-103.56787,Alpine,Texas,Dept. Fish & Wildlife,FREE,4,2
Wood Lake Recreation Area,30.02621,-84.56582,Sopchoppy,Florida,National Forest,FREE,4,2
Bonnet Carre Spillway Campground,30.0213,-90.40897,Norco,Louisiana,Army Corps Of Engineers,FREE,4,2
Walmart,29.856596,-81.32392,St. Augustine,Florida,Parking Lot,FREE,4,2
I-10 Rest Area Eastbound,29.836615,-94.6083,Anahuac,Texas,Rest Area,FREE,4,2
Holly Beach,29.769968,-93.459335,Cameron,Louisiana,Dept. Fish & Wildlife,FREE,4,2
Fort Anahuac Park,29.755758,-94.68772,Anahuac,Texas,County Park,FREE,4,2
Highway 90 Picnic Area,29.705921,-101.35287,Comstock,Texas,Parking Lot,FREE,4,2
Cracker Barrel,29.519342,-98.48441,San Antonio,Texas,Parking Lot,FREE,4,2
Rollover Pass,29.509384,-94.499916,Bolivar Peninsula,Texas,County Park,FREE,4,2
Walmart,29.394722,-100.90176,Del Rio,Texas,Parking Lot,FREE,4,2
Magnolia Beach,28.559856,-96.53705,Port Lavaca,Texas,County Park,FREE,4,2
Cypress Creek Preserve,28.23821,-82.43053,Land O Lakes,Florida,Southwest Florida Water Management District,FREE,4,2
Alston Tract,28.174099,-82.118996,Zephyrhills,Florida,Southwest Florida Water Management District,FREE,4,2
Three Lakes Wildlife Management Area,27.951649,-81.14159,Kenansville,Florida,Dept. Fish & Wildlife,FREE,4,2
Town of KICCO Campground,27.669071,-81.14538,River Ranch,Florida,South Florida Water Management District,FREE,4,2
Hickory Hammock Campground,27.447838,-81.17713,Lorida,Florida,South Florida Water Management District,FREE,4,2
Istokpoga Canal Boat Ramp Area,27.401186,-81.160385,Lorida,Florida,South Florida Water Management District,FREE,4,2
Hammock Campground,26.499397,-81.13083,Clewiston,Florida,Dept. Fish & Wildlife,FREE,4,2
Seminole Casino Hotel Immokalee,26.409927,-81.41352,Immokalee,Florida,Parking Lot,FREE,4,2
Miccosukee Resort & Gaming,25.764204,-80.48398,Miami,Florida,Parking Lot,FREE,4,2
Chevron Gas Station,63.334915,-142.9852,Tok,Alaska,Parking Lot,FREE,3,1.5
Copper River Campground,61.528538,-144.40372,Chitina,Alaska,Dept. Fish & Wildlife,FREE,3,1.5
Knik River Public Use Area,61.506176,-149.03844,Palmer,Alaska,Dept. Natural Resources,FREE,3,1.5
Cabela's,61.127415,-149.88144,Anchorage,Alaska,Parking Lot,FREE,3,1.5
Swanson River Campground,60.74357,-150.8013,Kenai,Alaska,Dept. Fish & Wildlife,FREE,3,1.5
Dolly Varden Lake Campground,60.70082,-150.79807,Kenai,Alaska,Dept. Fish & Wildlife,FREE,3,1.5
Fred Meyer,60.488365,-151.05025,Soldotna,Alaska,Parking Lot,FREE,3,1.5
Treasure Cove Casino,53.89454,-122.7622,Prince George,British Columbia,Parking Lot,FREE,3,1.5
Casino Lethbridge,49.696217,-112.78392,Lethbridge,Alberta,Parking Lot,FREE,3,1.5
3rd Street West Overnight Parking,49.320156,-123.099976,North Vancouver,British Columbia,Parking Lot,FREE,3,1.5
Silver Reef Casino,48.81632,-122.62706,Ferndale,Washington,Parking Lot,FREE,3,1.5
North Fork Road,48.49999,-114.13357,Columbia Falls,Montana,National Forest,FREE,3,1.5
Canyon Creek,48.464035,-114.16759,Columbia Falls,Montana,National Forest,FREE,3,1.5
Napeequa Crossing Campground,47.91987,-120.89448,Leavenworth,Washington,National Forest,FREE,3,1.5
Quinault Ridge Road Dispersed,47.34805,-123.90545,Quinault,Washington,National Forest,FREE,3,1.5
Muckleshoot Casino,47.28905,-122.19344,Auburn,Washington,Parking Lot,FREE,3,1.5
The Helipad Dispersed,47.247097,-120.68873,Liberty,Washington,BLM,FREE,3,1.5
Cabela's,47.062267,-122.78717,Lacey,Washington,Parking Lot,FREE,3,1.5
Porter Creek Campground,46.978,-123.256,Elma,Washington,Dept. Natural Resources,FREE,3,1.5
Lyle Lake,46.895283,-119.20287,Othello,Washington,Dept. Fish & Wildlife,FREE,3,1.5
Latah County Fairgrounds,46.72441,-116.98379,Moscow,Idaho,County Park,FREE,3,1.5
Shelldrake Dam,46.713,-85.064,Paradise,Michigan,Dept. Natural Resources,FREE,3,1.5
Yakama Legends Casino,46.37454,-120.34031,Toppenish,Washington,Parking Lot,FREE,3,1.5
Indian Road Campground,46.33364,-111.52838,Townsend,Montana,Bureau of Reclamation,FREE,3,1.5
Manuel Lisa,46.14459,-107.46467,Custer,Montana,Dept. Fish & Wildlife,FREE,3,1.5
Toston Dam Campground,46.121758,-111.40895,Toston,Montana,BLM,FREE,3,1.5
Falls Creek Falls Camping Area,45.894814,-121.94978,Carson,Washington,National Forest,FREE,3,1.5
St. Ignace Welcome Center,45.849808,-84.72309,Saint Ignace,Michigan,Rest Area,FREE,3,1.5
Grant Marsh,45.843426,-107.58357,Hardin,Montana,Dept. Fish & Wildlife,FREE,3,1.5
Walmart,45.69536,-111.04485,Bozeman,Montana,Parking Lot,FREE,3,1.5
Two Leggins,45.64479,-107.6592,Hardin,Montana,Dept. Fish & Wildlife,FREE,3,1.5
Potosi Campground,45.572044,-111.9146,Harrison,Montana,National Forest,FREE,3,1.5
French Prairie Rest Area Southbound,45.273155,-122.7762,Aurora,Oregon,Rest Area,FREE,3,1.5
Walmart,44.517075,-109.08897,Cody,Wyoming,Parking Lot,FREE,3,1.5
Spirit Mountain Road,44.50314,-109.1356,Cody,Wyoming,BLM,FREE,3,1.5
Weiser Sand Dunes,44.297493,-117.20849,Weiser,Idaho,BLM,FREE,3,1.5
Wheel Gulch,44.257256,-117.13741,Huntington,Oregon,BLM,FREE,3,1.5
Nip & Tuck Road,44.24843,-114.97149,Stanley,Idaho,National Forest,FREE,3,1.5
Forest Road 210,44.166466,-114.89765,Stanley,Idaho,National Forest,FREE,3,1.5
Conklin Road,43.990437,-121.41332,Bend,Oregon,National Forest,FREE,3,1.5
Warm Springs Canyon,43.673195,-114.43011,Ketchum,Idaho,National Forest,FREE,3,1.5
Arrowrock Reservoir Dispersed,43.615013,-115.831215,Boise,Idaho,National Forest,FREE,3,1.5
Hell's Half Acre Trailhead,43.5538,-112.44204,Idaho Falls,Idaho,BLM,FREE,3,1.5
Cy Bingham County Park,43.465305,-121.69983,Crescent,Oregon,County Park,FREE,3,1.5
Little Camas Reservoir,43.348,-115.392,Mountain Home,Idaho,National Forest,FREE,3,1.5
Corral Springs Campground,43.2526,-121.82237,Chemult,Oregon,National Forest,FREE,3,1.5
Swan Falls Campground,43.23788,-116.37509,Murphy,Idaho,BLM,FREE,3,1.5
Bixby Public Access Area,42.8567,-105.66881,Douglas,Wyoming,Dept. Fish & Wildlife,FREE,3,1.5
Laird Lake Campground,42.70028,-124.20291,Port Orford,Oregon,National Forest,FREE,3,1.5
Portneuf Lower,42.64148,-112.005806,Lava Hot Springs,Idaho,National Forest,FREE,3,1.5
Travelers Oasis Truck Plaza,42.574657,-114.29853,Eden,Idaho,Parking Lot,FREE,3,1.5
Balanced Rock County Park,42.543255,-114.949776,Castleford,Idaho,County Park,FREE,3,1.5
Odessa Campground,42.429962,-122.0613,Klamath Falls,Oregon,National Forest,FREE,3,1.5
Hagelstein Park,42.38293,-121.81284,Chiloquin,Oregon,County Park,FREE,3,1.5
Chautauqua Gorge State Forest,42.240005,-79.58551,Mayville,New York,State Forest,FREE,3,1.5
Lucky 7 Casino,41.958046,-124.20335,Smith River,California,Parking Lot,FREE,3,1.5
Elk Valley Casino,41.75827,-124.152016,Crescent City,California,Parking Lot,FREE,3,1.5
RV Hall of Fame & Musuem,41.729183,-85.88115,Elkhart,Indiana,Parking Lot,FREE,3,1.5
Reservoir C Campground,41.660007,-120.775055,Canby,California,National Forest,FREE,3,1.5
Big Sage Campground,41.579,-120.628,Alturas,California,National Forest,FREE,3,1.5
Twin Lakes Wildlife Management Area,40.82881,-96.94406,Pleasant Dale,Nebraska,Dept. Fish & Wildlife,FREE,3,1.5
Ramhorn Springs Campground,40.70716,-120.25314,Susanville,California,BLM,FREE,3,1.5
Rocky Point West,40.68842,-120.7604,Susanville,California,BLM,FREE,3,1.5
Hollywood Casino at Penn National Race Course,40.395855,-76.6629,Grantville,Pennsylvania,Parking Lot,FREE,3,1.5
Rabbit Ears Pass East,40.38453,-106.620766,Steamboat Springs,Colorado,National Forest,FREE,3,1.5
Diamondback Trailhead Campsite,40.06129,-120.083374,Doyle,California,BLM,FREE,3,1.5
Kremmling Mercantile,40.05991,-106.39973,Kremmling,Colorado,Parking Lot,FREE,3,1.5
West Magnolia Campground,39.94678,-105.51765,Nederland,Colorado,National Forest,FREE,3,1.5
Cottonwood Campground,39.780502,-111.72318,Juab,Utah,National Forest,FREE,3,1.5
Maple Grove Campsite,39.70677,-81.72504,McConnelsville,Ohio,Utility,FREE,3,1.5
Snag Lake Campground,39.668,-120.626,Calpine,California,National Forest,FREE,3,1.5
Atlantis Casino Resort,39.488773,-119.797844,Reno,Nevada,Parking Lot,FREE,3,1.5
Hickison Petroglyph Recreation Area,39.44934,-116.751366,Austin,Nevada,BLM,FREE,3,1.5
Old Mill Campground,39.309,-122.645,Stonyford,California,National Forest,FREE,3,1.5
18 Road,39.29707,-108.70764,Fruita,Colorado,BLM,FREE,3,1.5
Coyote Valley Casino,39.252094,-123.20698,Redwood Valley,California,Parking Lot,FREE,3,1.5
25 Road,39.173187,-108.57011,Grand Junction,Colorado,BLM,FREE,3,1.5
Mayacmas Campground,39.156967,-123.092285,Ukiah,California,BLM,FREE,3,1.5
South Fork South Platte River,39.08585,-106.14177,Buena Vista,Colorado,National Forest,FREE,3,1.5
Indian Valley Reservoir Campground,39.082634,-122.53209,Clearlake Oaks,California,County Park,FREE,3,1.5
Wildhorn,39.055,-105.253,Divide,Colorado,National Forest,FREE,3,1.5
Walmart,38.923714,-119.72298,Gardnerville,Nevada,Parking Lot,FREE,3,1.5
Elephant Rock,38.88483,-106.15247,Buena Vista,Colorado,BLM,FREE,3,1.5
Mushroom Gulch,38.837917,-106.00187,Buena Vista,Colorado,BLM,FREE,3,1.5
Sheep Creek Road,38.790268,-111.68284,Salina,Utah,National Forest,FREE,3,1.5
Walmart,38.70511,-120.830185,Diamond Springs,California,Parking Lot,FREE,3,1.5
Red Hawk Casino,38.69341,-120.90492,Placerville,California,Parking Lot,FREE,3,1.5
Hermit Valley Campground,38.538513,-119.897736,Arnold,California,National Forest,FREE,3,1.5
El Capitan Lodge & Casino,38.525356,-118.62221,Hawthorne,Nevada,Parking Lot,FREE,3,1.5
Flat Top OHV Recreation Area,38.52195,-107.85944,Montrose,Colorado,BLM,FREE,3,1.5
Luning Rest Area,38.50622,-118.17861,Luning,Nevada,Rest Area,FREE,3,1.5
Lions Club RV Park,38.40352,-113.01426,Milford,Utah,RV Park,FREE,3,1.5
Caineville Reef,38.339,-111.031,Torrey,Utah,BLM,FREE,3,1.5
Bristol Pass,38.11948,-114.6286,Pioche,Nevada,BLM,FREE,3,1.5
Pilot Travel Center,38.019524,-79.14287,Staunton,Virginia,Parking Lot,FREE,3,1.5
Fish Lake Valley Hot Well,37.86021,-117.9839,Dyer,Nevada,County Park,FREE,3,1.5
Woodson State Fishing Lake,37.791275,-95.843834,Yates Center,Kansas,Dept. Fish & Wildlife,FREE,3,1.5
Dodge City Roadside Park,37.779594,-99.9047,Dodge City,Kansas,City Park,FREE,3,1.5
Lake Mauzy East,37.615986,-87.85468,Morganfield,Kentucky,Dept. Fish & Wildlife,FREE,3,1.5
Jerseydale Campground,37.54509,-119.8385,Mariposa,California,National Forest,FREE,3,1.5
Upper Chiquito Campground,37.502,-119.409,Madera,California,National Forest,FREE,3,1.5
Casa Diablo Road,37.436283,-118.43028,Bishop,California,BLM,FREE,3,1.5
Casa Diablo Cliff Side,37.426537,-118.42148,Bishop,California,BLM,FREE,3,1.5
Cliff Camp,37.397152,-108.82154,Cortez,Colorado,BLM,FREE,3,1.5
Lava Point Campground,37.383698,-113.03278,Springdale,Utah,National Park,FREE,3,1.5
Walmart,37.3481,-108.56163,Cortez,Colorado,Parking Lot,FREE,3,1.5
Forest Road 665 Gravel Pit,37.270924,-106.88064,Pagosa Springs,Colorado,National Forest,FREE,3,1.5
Dalton Wash Road,37.227222,-113.11499,Virgin,Utah,BLM,FREE,3,1.5
Elk Creek Trail,37.118294,-106.377014,Antonito,Colorado,National Forest,FREE,3,1.5
Cedar Pocket Pass,36.956863,-113.801926,Littlefield,Arizona,BLM,FREE,3,1.5
Camp 4 Campground,36.856846,-119.10759,Squaw Valley,California,National Forest,FREE,3,1.5
Big Meadows Campground,36.721,-118.82,Hume,California,National Forest,FREE,3,1.5
Panoche Hills,36.712452,-120.86252,Firebaugh,California,BLM,FREE,3,1.5
I-65 Rest Area Northbound,36.64368,-86.5682,Franklin,Kentucky,Parking Lot,FREE,3,1.5
Amargosa Valley Rest Area,36.64305,-116.40018,Amargosa Valley,Nevada,Parking Lot,FREE,3,1.5
Drury-Mincy Conservation Area,36.553074,-93.10815,Kirbyville,Missouri,Dept. Fish & Wildlife,FREE,3,1.5
Thompson Grove Picnic Area,36.414925,-102.805824,Dalhart,Texas,National Forest,FREE,3,1.5
Taos Junction Dispersed,36.36035,-105.89397,Ojo Caliente,New Mexico,National Forest,FREE,3,1.5
Champion Road,36.341984,-115.64828,Las Vegas,Nevada,National Forest,FREE,3,1.5
Cordell Hull Dispersed,36.316677,-85.79324,Granville,Tennessee,Army Corps Of Engineers,FREE,3,1.5
Tachi Palace Hotel & Casino,36.238876,-119.76437,Lemoore,California,Parking Lot,FREE,3,1.5
Walmart,36.227074,-119.32928,Tulare,California,Parking Lot,FREE,3,1.5
Crawdad Cove,36.1281,-114.79677,Boulder City,Nevada,National Park,FREE,3,1.5
Los Alamos Overlook,35.878757,-106.347176,Los Alamos,New Mexico,National Forest,FREE,3,1.5
American Spring Dispersed,35.83397,-106.37553,Los Alamos,New Mexico,National Forest,FREE,3,1.5
Jean Roach Dry Lake Bed,35.76861,-115.26632,Jean,Nevada,BLM,FREE,3,1.5
Hanning Flat Dispersed Area,35.677807,-118.3703,Kernville,California,National Forest,FREE,3,1.5
Black Gulch Dispersed Area,35.595802,-118.52318,Bodfish,California,National Forest,FREE,3,1.5
Walmart,35.52682,-108.76934,Gallup,New Mexico,Parking Lot,FREE,3,1.5
Breckenridge Campground,35.466827,-118.58294,Havilah,California,National Forest,FREE,3,1.5
River Ridge,35.443356,-94.071434,Cecil,Arkansas,Army Corps Of Engineers,FREE,3,1.5
Pigeon River Roadside Campsite,35.377327,-82.94073,Canton,North Carolina,National Forest,FREE,3,1.5
Black Tank Wash,35.200424,-115.871895,Baker,California,National Park,FREE,3,1.5
Riverside Casino Resort,35.16522,-114.57234,Laughlin,Nevada,Parking Lot,FREE,3,1.5
Pioneer Hotel & Gambling Hall,35.15613,-114.57421,Laughlin,Nevada,Parking Lot,FREE,3,1.5
Golden Nugget Casino,35.15421,-114.57588,Laughlin,Nevada,Parking Lot,FREE,3,1.5
Walmart,35.126152,-107.82567,Grants,New Mexico,Parking Lot,FREE,3,1.5
Miranda Pine Campground,35.035275,-120.03731,Santa Barbara,California,National Forest,FREE,3,1.5
Ammons Branch Campground,35.02169,-83.144485,Highlands,North Carolina,National Forest,FREE,3,1.5
Chevron Gas Station,34.93687,-110.13185,Holbrook,Arizona,Parking Lot,FREE,3,1.5
Dagmar WMA Dispersed #7,34.875835,-91.32534,Brinkley,Arkansas,Dept. Fish & Wildlife,FREE,3,1.5
Great Lake Boat Launch,34.85978,-77.05237,Havelock,North Carolina,National Forest,FREE,3,1.5
Oatman-Topock Dispersed,34.801804,-114.46949,Topock,Arizona,BLM,FREE,3,1.5
Forest Road 689,34.69741,-111.72399,Rimrock,Arizona,National Forest,FREE,3,1.5
Silverton Municipal Park,34.47389,-101.30683,Silverton,Texas,City Park,FREE,3,1.5
Standard Wash,34.4345,-114.21708,Lake Havasu City,Arizona,BLM,FREE,3,1.5
Atoka Lake Dispersed Camping Area,34.433147,-96.09285,Atoka,Oklahoma,Dept. Natural Resources,FREE,3,1.5
Giant Rock,34.330154,-116.38823,Landers,California,BLM,FREE,3,1.5
Pie Town,34.29625,-108.12308,Pie Town,New Mexico,BLM,FREE,3,1.5
Badger Springs,34.231895,-112.10199,Black Canyon City,Arizona,BLM,FREE,3,1.5
Mazatzal Hotel & Casino,34.219116,-111.32997,Payson,Arizona,Parking Lot,FREE,3,1.5
Walmart,34.201523,-110.01745,Show Low,Arizona,Parking Lot,FREE,3,1.5
Scott Reservoir Campground,34.175953,-109.9605,Lakeside,Arizona,National Forest,FREE,3,1.5
Los Burros Campground,34.141403,-109.777565,McNary,Arizona,National Forest,FREE,3,1.5
Sophie Flats,33.99387,-112.681816,Wickenburg,Arizona,BLM,FREE,3,1.5
Table Mesa Trailhead Area,33.986492,-112.16984,New River,Arizona,BLM,FREE,3,1.5
Morongo Casino Resort,33.92188,-116.79315,Cabazon,California,Parking Lot,FREE,3,1.5
Castle Hot Springs Road,33.878654,-112.33056,Morristown,Arizona,BLM,FREE,3,1.5
Crystal Hill,33.52387,-114.11665,Quartzsite,Arizona,Dept. Fish & Wildlife,FREE,3,1.5
Cedar Creek Recreation Area,33.36768,-105.719955,Ruidoso,New Mexico,National Forest,FREE,3,1.5
Bighorn Campground,33.32385,-108.8829,Glenwood,New Mexico,National Forest,FREE,3,1.5
Arroyo Salado,33.28296,-116.15224,Borrego Springs,California,State Park,FREE,3,1.5
Wild Horse Pass Hotel & Casino,33.282356,-111.97665,Chandler,Arizona,Parking Lot,FREE,3,1.5
Slab City,33.25452,-115.47391,Niland,California,Unknown/Other,FREE,3,1.5
Lower Scorpion Campground,33.230133,-108.25772,Silver City,New Mexico,National Forest,FREE,3,1.5
Indian Pass Road,32.938393,-114.86725,Winterhaven,California,BLM,FREE,3,1.5
County Road 4847 Public Access,32.91347,-95.34728,Winnsboro,Texas,County Park,FREE,3,1.5
Walmart,32.889053,-105.957016,Alamogordo,New Mexico,Parking Lot,FREE,3,1.5
Plaster City East OHV Open Area,32.79159,-115.830055,Imperial,California,BLM,FREE,3,1.5
Golden Acorn Casino & Travel Center,32.70118,-116.35289,Campo,California,Parking Lot,FREE,3,1.5
Denison Camping Area,32.436653,-112.827415,Ajo,Arizona,County Park,FREE,3,1.5
Redington Pass Dispersed,32.25546,-110.662224,Tucson,Arizona,National Forest,FREE,3,1.5
Snyder Hill BLM,32.15665,-111.115654,Tucson,Arizona,BLM,FREE,3,1.5
Rocky Springs Campground,32.086792,-90.799355,Hermanville,Mississippi,National Park,FREE,3,1.5
Rosie Jones Park,32.04442,-94.47597,Long Branch,Texas,County Park,FREE,3,1.5
Oak Tree Canyon Camping Area,31.800497,-110.65542,Vail,Arizona,BLM,FREE,3,1.5
Kentucky Camp,31.748047,-110.74163,Sonoita,Arizona,National Forest,FREE,3,1.5
Pecos Picnic Area,31.439056,-103.50018,Pecos,Texas,Parking Lot,FREE,3,1.5
Buckhorn Hunt Camp,30.334867,-84.53464,Tallahassee,Florida,National Forest,FREE,3,1.5
Texas 118 Picnic Area,30.044151,-103.57236,Alpine,Texas,Parking Lot,FREE,3,1.5
I-10 Rest Area Westbound,29.840603,-94.60869,Hankamer,Texas,Rest Area,FREE,3,1.5
Seafood Landing Park,29.713482,-85.02018,Apalachicola,Florida,County Park,FREE,3,1.5
Trout Lake,29.051079,-81.82766,Ocklawaha,Florida,National Forest,FREE,3,1.5
I-37 Picnic Area Southbound,29.038168,-98.4334,Pleasanton,Texas,Rest Area,FREE,3,1.5
South Tower Hunt Camp,28.999933,-81.77815,Umatilla,Florida,National Forest,FREE,3,1.5
Flying Eagle Preserve,28.821493,-82.25056,Inverness,Florida,Southwest Florida Water Management District,FREE,3,1.5
KICCO Spoil Area Campground,27.762741,-81.18131,River Ranch,Florida,South Florida Water Management District,FREE,3,1.5
Walmart,25.923605,-97.478195,Brownsville,Texas,Parking Lot,FREE,3,1.5
Walmart,52.964996,-122.44081,Quesnel,British Columbia,Parking Lot,FREE,2,1
Palmer Lake Campground,48.916,-119.634,Loomis,Washington,Dept. Natural Resources,FREE,2,1
Blue Lake-Wannacut,48.90131,-119.49853,Oroville,Washington,Dept. Fish & Wildlife,FREE,2,1
Okanogan Bingo Casino,48.35416,-119.58611,Okanogan,Washington,RV Park,FREE,2,1
Grasshopper Meadows Campground,47.940403,-120.92483,Leavenworth,Washington,National Forest,FREE,2,1
Douglas Creek,47.48886,-119.90026,Palisades,Washington,BLM,FREE,2,1
Rhody Creek Trail,46.627827,-86.095665,Grand Marais,Michigan,National Park,FREE,2,1
Big Flat Habitat Management Unit,46.29473,-118.80707,Pasco,Washington,Army Corps Of Engineers,FREE,2,1
Sand Station Recreation Area,45.922,-119.12,Hermiston,Oregon,Army Corps Of Engineers,FREE,2,1
God's Valley,45.782654,-123.73923,Nehalem,Oregon,State Forest,FREE,2,1
Cabela's,45.75312,-108.5282,Billings,Montana,Parking Lot,FREE,2,1
Station D'épuration des Eaux,45.487835,-73.26858,St Jean-Baptiste,Quebec,Parking Lot,FREE,2,1
China Hat Road,43.984222,-121.305016,Bend,Oregon,National Forest,FREE,2,1
Box Creek Trailhead & Campground,43.86033,-110.294624,Moran,Wyoming,National Forest,FREE,2,1
Antelope Springs,43.7044,-110.62197,Jackson,Wyoming,National Forest,FREE,2,1
East Allen Lake Public Access,41.873512,-106.213776,Medicine Bow,Wyoming,Dept. Fish & Wildlife,FREE,2,1
Gotte Park,41.235,-103.649,Kimball,Nebraska,City Park,FREE,2,1
2100S Overnight Street Parking,40.725914,-111.92832,Salt Lake City,Utah,Parking Lot,FREE,2,1
Forest Road 328,40.04102,-105.52044,Boulder,Colorado,National Forest,FREE,2,1
Michaux State Forest,39.82587,-77.440094,Fairfield,Pennsylvania,State Forest,FREE,2,1
Tigiwon Road,39.521843,-106.421455,Minturn,Colorado,National Forest,FREE,2,1
The Potholes Recreation Site,38.66947,-108.32719,Delta,Colorado,BLM,FREE,2,1
Park Creek Road,37.50099,-106.69879,South Fork,Colorado,National Forest,FREE,2,1
Pine Creek,37.38101,-118.67166,Bishop,California,National Forest,FREE,2,1
Wagon Wheel Staging Area,35.572105,-117.550705,Ridgecrest,California,BLM,FREE,2,1
Truth or Consequences BLM,33.104206,-107.29532,Williamsburg,New Mexico,BLM,FREE,2,1
Araz Junction,32.744576,-114.71664,Winterhaven,California,Tribal Land,FREE,2,1
Corral Canyon Campground,32.71289,-116.57188,Campo,California,National Forest,FREE,2,1
Wellton Canal,32.63809,-114.13982,Wellton,Arizona,BLM,FREE,2,1
Avalon Reservoir,32.493614,-104.24896,Carlsbad,New Mexico,Bureau of Reclamation,FREE,2,1
Baylor Canyon Road,32.342354,-106.61335,Las Cruces,New Mexico,BLM,FREE,2,1
Wilcox Playa Wildlife Area,32.141922,-109.75693,Willcox,Arizona,Dept. Fish & Wildlife,FREE,2,1
Gardner Canyon Road,31.727924,-110.697815,Sonoita,Arizona,National Forest,FREE,2,1
Bouton Lake Campground,31.027626,-94.31715,Zavalla,Texas,National Forest,FREE,2,1
White River Falls,47.953068,-120.93811,Leavenworth,Washington,National Forest,FREE,1,0.5
M-K Campground,45.038,-109.43,Red Lodge,Montana,National Forest,FREE,1,0.5
Mayfield Pond Recreation Area,44.082626,-121.13089,Bend,Oregon,BLM,FREE,1,0.5
Woodruff Narrows Reservoir,41.505966,-111.023605,Evanston,Wyoming,Dept. Fish & Wildlife,FREE,1,0.5
Otter Creek Park,41.24769,-93.5315,Indianola,Iowa,County Park,FREE,1,0.5
East Beach Campground,39.61377,-102.170456,Idalia,Colorado,Dept. Fish & Wildlife,FREE,1,0.5
Big Springs Campground,37.749,-118.94,Mammoth Lakes,California,National Forest,FREE,1,0.5
Yellowjacket Canyon,37.14531,-112.67356,Kanab,Utah,BLM,FREE,1,0.5
El Rito Campground,36.400356,-106.25366,El Rito,New Mexico,National Forest,FREE,1,0.5
Curtis Creek Road,35.698032,-82.19572,Old Fort,North Carolina,National Forest,FREE,1,0.5
Tajique Campground,34.777294,-106.31006,Tajique,New Mexico,National Forest,FREE,1,0.5
Old 95 Dispersed,34.714252,-114.31,Lake Havasu City,Arizona,BLM,FREE,1,0.5
San Manuel Casino,34.15361,-117.2288,Highland,California,Parking Lot,FREE,1,0.5
Monticello Park,33.079468,-95.05769,Mount Pleasant,Texas,County Park,FREE,1,0.5
Hackberry Lake OHV Area,32.634922,-103.86952,Loco Hills,New Mexico,BLM,FREE,1,0.5
Stampede Road,63.878372,-149.22534,Healy,Alaska,BLM,FREE,0,0
East Fork Chulitna Wayside,63.045002,-149.57886,Cantwell,Alaska,Parking Lot,FREE,0,0
Rufus Creek Primitive Campsite,62.65955,-143.84483,Slana,Alaska,National Park,FREE,0,0
Copper Lake Trail Primitive Campsite,62.6171,-143.68413,Slana,Alaska,National Park,FREE,0,0
Kettle Lake Primitive Campsite,62.58454,-143.56743,Slana,Alaska,National Park,FREE,0,0
Dead Dog Hill Primitive Campsite,62.576534,-143.5354,Slana,Alaska,National Park,FREE,0,0
Rock Lake Primitive Campsite,62.563793,-143.41678,Slana,Alaska,National Park,FREE,0,0
Kendesnii Campground,62.52809,-143.24826,Slana,Alaska,National Park,FREE,0,0
Jack Creek Primitive Campsite,62.46312,-143.10272,Slana,Alaska,National Forest,FREE,0,0
Kluane Cove,61.158184,-138.5628,Destruction Bay,Yukon Territory,Provincial Recreation Site,FREE,0,0
Destruction Bay Pull Out,61.025448,-138.50305,Destruction Bay,Yukon Territory,Parking Lot,FREE,0,0
Mile Marker 13,60.92965,-149.54324,Hope,Alaska,National Forest,FREE,0,0
Coeur D'Alene Campground,60.8498,-149.53394,Hope,Alaska,National Forest,FREE,0,0
Walmart,60.73305,-135.06876,Whitehorse,Yukon Territory,Parking Lot,FREE,0,0
Fish Lake Campground,60.72778,-150.72313,Sterling,Alaska,Dept. Fish & Wildlife,FREE,0,0
Watson Lake Campground,60.536034,-150.46114,Sterling,Alaska,Dept. Fish & Wildlife,FREE,0,0
Lower Skilak Lake Campground,60.473156,-150.46405,Cooper Landing,Alaska,Dept. Fish & Wildlife,FREE,0,0
Lower Ohmer Lake Campground,60.4606,-150.31929,Cooper Landing,Alaska,Dept. Fish & Wildlife,FREE,0,0
Smithers Landing Site,55.052387,-126.465706,Bulkley-Nechako G,British Columbia,Provincial Park,FREE,0,0
Pendleton Bay Site,54.505135,-125.70012,Burns Lake,British Columbia,Provincial Park,FREE,0,0
Gold Eagle Casino,52.757294,-108.2685,North Battleford,Saskatchewan,Parking Lot,FREE,0,0
Walmart,52.149426,-106.61924,Saskatoon,Saskatchewan,Parking Lot,FREE,0,0
Walmart,52.12611,-106.76023,Saskatoon,Saskatchewan,Parking Lot,FREE,0,0
Williams Lake Visitor Center,52.122856,-122.09783,Williams Lake,British Columbia,Parking Lot,FREE,0,0
Walmart,52.088238,-106.6429,Saskatoon,Saskatchewan,Parking Lot,FREE,0,0
Spanish Lake Dispersed,50.486843,-119.46951,Salmon Arm,British Columbia,Unknown/Other,FREE,0,0
